,DRUMMER 1 ,# onsets,audio length (seconds),average bpm,average bpm librosa,# beats,onsets/second,event density,onset/beat,,,,DRUMMER 2 ,#onsets,# beats,audio length,average_bpm,onsets/beat,beat_density,onset/second,onset/beat,,DRUMMER 3 ,# onsets,# beats,audio length,average bpm,average bpm librosa,onsets/beat,beat_density,onset/second
,131_MIDI-minus-one_grunge_sticks,270,40,119.974,[ 117.45383523],79,6.75,154.013,3.42,"6.75,",,,drummer2.140_MIDI-minus-one_grunge_sticks.csv,250,87,43.76,120.038,2.874,231.756,5.713,2.874,,drummer3.150_MIDI-minus-one_grunge_sticks.csv,272,71,35.72,118.275,[ 117.45383523],3.831,157.243,7.615
,133_MIDI-minus-one_nu-soul_sticks,305,48.72,104.231,[ 103.359375],82,6.26,231.737,3.72,"6.26026272577997,",,,drummer2.142_MIDI-minus-one_nu-soul_sticks.csv,289,83,48.6,103.955,3.482,157.131,5.947,3.482,,drummer3.152_MIDI-minus-one_nu-soul_sticks.csv,408,87,50.84,104.061,[ 103.359375],4.69,121.457,8.025
,135_MIDI-minus-one_rock-113_sticks,263,33.72,112.506,[ 112.34714674],63,7.8,87.866,4.17,"7.79952550415184,",,,drummer2.144_MIDI-minus-one_rock-113_sticks.csv,221,85,45.12,112.758,2.6,144.151,4.898,2.6,,drummer3.154_MIDI-minus-one_rock-113_sticks.csv,265,84,44.64,112.809,[ 112.34714674],3.155,133.058,5.936
,137_MIDI-minus-one_rock'n'roll-188_sticks,172,34.08,93.98,[ 95.703125],53,5.05,152.613,3.25,"5.04694835680751,",,,drummer2.146_MIDI-minus-one_rock'n'roll-188_sticks.csv,267,111,35.76,184.57,2.405,134.193,7.466,2.405,,drummer3.156_MIDI-minus-one_rock'n'roll-188_sticks.csv,391,60,38.84,93.847,[ 95.703125],6.517,157.843,10.067
,139_MIDI-minus-one_soul-120-marvin-gaye_sticks,469,30.36,120.062,[ 117.45383523],60,15.45,92.177,7.82,"15.4479578392622,",,,drummer2.148_MIDI-minus-one_soul-120-marvin-gaye_sticks.csv,247,94,47.72,119.998,2.628,144.675,5.176,2.628,,drummer3.158_MIDI-minus-one_soul-120-marvin-gaye_sticks.csv,340,88,44.52,119.814,[ 117.45383523],3.864,104.541,7.637
,141_MIDI-minus-one_soul-98_sticks,192,39.44,98.038,[ 99.38401442],64,4.87,43.688,3,"4.86815415821501,",,,drummer2.150_MIDI-minus-one_soul-98_sticks.csv,246,83,51.6,98.097,2.964,104.123,4.767,2.964,,drummer3.160_MIDI-minus-one_soul-98_sticks.csv,262,66,40.96,98.156,[ 99.38401442],3.97,71.163,6.396
,143_MIDI-minus-one_fusion-125_sticks,214,58.48,82.134,[ 83.35433468],95,3.66,572.733,2.25,"3.6593707250342,",,,drummer2.152_MIDI-minus-one_fusion-125_sticks.csv,353,159,64.52,162.557,2.22,130.414,5.471,2.22,,drummer3.162_MIDI-minus-one_fusion-125_sticks.csv,494,181,72.4,162.427,[ 161.49902344],2.729,161.924,6.823
,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,drummer1.143_MIDI-minus-one_fusion-125_sticks.csv,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,onsets_count_drummer1.csv,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,onsets.csv,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,txt2csv.py~,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
